20230720	20:04:56	36808481-0bdb-48f5-b3f0-71417becd139	/	GET
20230720	20:04:56	2a7ecdc3-0840-4bde-b45f-981931dc08e5	/css/style.css	GET
20230720	20:04:56	43d8a715-1a5f-4d08-8249-369cb9c6b9a8	/favicon.ico	GET
20231212	14:35:15	d881eb75-1126-4f4d-b217-6e00e6094d57	GET	undefined	/
20231212	14:35:15	890e4eb5-84d3-4e62-adab-a84ca95aa696	GET	undefined	/css/style.css
20231212	14:40:00	3bb9a012-4155-464d-a0c3-0cd99a1820fd	OPTIONS	https://www.google.com	/
20231212	14:40:00	bed6d8cf-3886-470c-a041-6a3a1375bcaa	GET	https://www.google.com	/
20231212	14:42:48	a94f279a-56a7-49e6-a5db-79da25d24ac7	OPTIONS	https://www.google.com	/
20231212	14:42:48	eb3cc5d6-761f-4591-9db9-2791923b7824	GET	https://www.google.com	/
20231212	14:48:04	43fa8693-92ff-41d5-a09e-1c0a697b6279	OPTIONS	https://www.google.com	/
20231212	14:48:04	d17783ea-5cd6-4533-8f75-769914a28ada	GET	https://www.google.com	/
20231212	15:29:11	39dd37e3-ff6a-42b7-ac43-edd75df840f9	POST	undefined	/jsonTest
20231212	15:29:39	53b786f6-094b-4157-8782-a0fab0ecb1dc	GET	undefined	/jsonTest
20231212	15:30:50	b72d1a86-1f1f-41a9-9318-992c24c527ba	GET	undefined	/jsonTest
20231212	15:31:06	16df6fc1-4e92-46a1-a7ec-3e97f69dcea6	POST	undefined	/jsonTest
20231214	15:05:15	2cd79ed1-9695-4bcb-8685-7a115edac1da	GET	undefined	/new-page.html
20231214	15:05:15	b58b030a-7c01-481d-b4f2-b172bede5abe	GET	undefined	/css/style.css
20231214	15:05:15	27222240-f668-4aac-83f2-c606f87ff156	GET	undefined	/img/img1.jpg
20231214	15:05:16	f3e78e69-5528-43e4-b3d3-68164c6e36ee	GET	undefined	/favicon.ico
20231214	15:05:34	2aa47455-a80b-4d06-89ea-07f66a345495	GET	undefined	/subdir
20231214	15:05:49	823d1eab-b4ac-4c19-b6c2-87db6ed1e1eb	GET	undefined	/subdir/test
20231214	15:05:55	6eeeff13-554c-42a7-ac77-393c605c714a	GET	undefined	/subdir/gfd
20231214	15:05:55	8f4bd8dd-d346-46c7-bfd6-9b9b4921414b	GET	undefined	/subdir/css/style.css
20231214	15:09:20	ef6c4471-cd37-4245-9103-49491c8fcba4	GET	undefined	/subdir/f
20231214	15:09:20	2697eb29-8f1d-4764-a130-f80452b10381	GET	undefined	/subdir/css/style.css
20231214	15:15:06	2ca82dee-f93a-4873-9488-8c71832d83b3	GET	undefined	/new-page
20231214	15:15:06	731003c7-dbeb-430a-80b8-33ee9546fb8a	GET	undefined	/css/style.css
20231214	15:15:06	29c4e569-4c7c-4be0-8b1c-7f6326aca336	GET	undefined	/img/img1.jpg
20231214	15:15:18	df5d8334-ad16-47dc-9f48-b6fbf711e250	GET	undefined	/old-page
20231214	15:15:18	db128108-b325-4417-b007-b0db470cb010	GET	undefined	/new-page.html
20231214	15:15:18	b71def35-83b1-4990-855c-7b3126bf0350	GET	undefined	/css/style.css
20231214	15:15:18	a6a0ea30-a392-43a9-adc8-3183c313894f	GET	undefined	/img/img1.jpg
20231214	15:15:24	a14324cc-b7fa-4a73-8663-a72f9720a0e0	GET	undefined	/index.html
20231214	15:15:24	88bb70be-b448-435f-a896-0fc817530fec	GET	undefined	/css/style.css
20231214	15:41:31	f4630dfa-3dcf-4c6b-bc2a-59d019e91f19	GET	undefined	/employees
20231214	15:43:30	925aa9ae-b4ab-4e4a-b829-a6cf5d540cea	POST	undefined	/employees
20231214	15:49:20	5e29da9c-20b4-44d4-8836-580571ca8017	GET	undefined	/employees/1
20231214	15:49:26	f1d102e5-5882-4032-8a54-d29d08d2f761	GET	undefined	/employees/2
20231214	15:49:54	992eee0e-703f-4451-a2f6-27c48a89d48c	GET	undefined	/employees/2
20231214	15:49:55	99661e2c-5cfe-4330-b3f6-65d3c51c10cc	GET	undefined	/employees/2
20231214	15:50:04	927605b5-9732-4d27-97e4-ffdfe427366a	GET	undefined	/employees/2
20231214	15:51:09	a3815219-bbf1-4250-b394-06a8171cf712	GET	undefined	/employees/2
20231214	15:51:52	34f2dfa4-1609-4610-964a-450a9b198568	GET	undefined	/employees/2
20231214	15:53:05	be99085b-a970-4f25-9297-73071e755fc1	GET	undefined	/employees/2
20231214	15:53:17	91f6d487-136a-4c15-849a-92332a2739b3	GET	undefined	/employees/2
20231214	15:53:23	701c9dba-876b-4684-bf93-a0f13b7d8321	GET	undefined	/employees/1
20231214	15:53:27	23c214fc-77bf-441d-b8a8-3e6db5d5fe91	GET	undefined	/employees/0
20231214	15:54:00	86b64eac-e94a-44be-b08e-e52c9752b6f5	GET	undefined	/employees/1
20231215	13:51:55	aa45f807-e202-489e-9735-dbf5840ce063	POST	undefined	/employees
20231215	13:53:09	9c0d3a50-6834-4a7b-873b-b5502215dc93	POST	undefined	/employees
20231215	13:53:29	81d66886-81a9-4a6b-a1da-78ff4b6b6abe	POST	undefined	/employees
20231215	13:53:55	4c515e90-16c2-4423-bacf-2d1353489d8c	POST	undefined	/employees
20231215	13:54:39	fd41d788-8f75-4dff-8b00-d2aa77537a73	POST	undefined	/employees
20231215	13:57:09	c3c051d0-dd0f-43b6-971f-aef270236f55	POST	undefined	/employees
20231215	15:42:51	4c92e505-7418-4378-b15b-889bacf37e02	POST	undefined	/api/employees
20231215	15:43:25	a9432efd-4f9c-4e22-abce-747f38ba1ad4	POST	undefined	/employees
20231215	15:43:47	db76ce54-9cfd-430b-8291-13f229cdaaac	DELETE	undefined	/employees/3
20231215	15:44:15	e4e0c01a-1191-4d8d-b086-613471acce32	DELETE	undefined	/employees
20231215	15:45:27	d5db619f-5da1-4e29-af22-2667b380ccbf	PUT	undefined	/employees
20231215	19:08:32	796ce035-38e1-4195-817b-dffed2e5a851	POST	undefined	/register
20231215	19:09:16	a429e076-da00-4b92-ad22-2e594a884af4	POST	undefined	/register
20231215	19:23:22	dc9aafaa-922c-4b2d-a178-e048e4d04962	POST	undefined	/auth
20231215	19:24:36	1254bdc8-a835-4207-8995-4c00d44ab7dc	POST	undefined	/register
20231218	14:46:24	5a05cd7e-2703-4590-a9d8-732f0effc8c5	GET	undefined	/employees
20231218	14:47:49	b3b799cf-3470-4ba2-a63f-879cae615da4	POST	undefined	/auth
20231218	14:48:26	a3c72f0e-f67b-4ddd-89ce-cbe90fdf7261	POST	undefined	/auth
20231218	14:48:34	dfe37903-3bd1-4c11-a065-ca03d4e45880	POST	undefined	/auth
20231218	14:48:53	db2fb8fb-af14-41e8-bad8-d4ab0d707c13	POST	undefined	/auth
20231218	14:49:03	fb836a37-9b6f-45c9-8569-ee0b79212c56	POST	undefined	/auth
20231218	14:49:07	1bc18b6e-a8a3-49bd-8d90-1cef05ddb1e6	POST	undefined	/auth
20231218	14:49:51	56c5fec2-cd9b-4173-a97d-27e94f784566	POST	undefined	/auth
20231218	14:49:56	282c7b1e-fbb9-43c5-ab74-fa0a01d371ae	POST	undefined	/auth
20231218	14:51:29	183b9f7e-81cd-47c6-9df8-aef0a5194b09	GET	undefined	/employee
20231218	14:51:50	632987be-7bde-4447-ab5b-0e2bc7dd84dc	GET	undefined	/employees
20231218	14:52:01	59088efb-74a3-462e-ba21-57e6cc2a69fa	POST	undefined	/auth
20231218	14:52:04	6969fd77-21a9-4e6b-b430-fd44728a8923	GET	undefined	/employees
20231218	14:52:32	d664fa9c-7571-4646-bf81-138997302682	POST	undefined	/auth
20231218	14:52:48	5da7ae19-ff7e-49a4-9671-27120842f876	GET	undefined	/employees
20231218	14:53:04	ad2dc4c0-db7b-4a58-af81-f8185b759529	GET	undefined	/employees
20231218	14:54:18	f0d92e7f-7086-444a-8d1e-9af7f913a281	GET	undefined	/employees
20231218	14:56:33	3841385c-9ca9-409a-8cae-baa5689c654e	POST	undefined	/auth
20231218	14:56:41	3de21371-7ff2-4fa2-8726-9382777c81b9	GET	undefined	/employees
20231218	14:56:56	d30df86c-ec10-4c1a-805f-4cc331848036	GET	undefined	/employees
20231218	14:57:00	4d90eb4e-2a73-43bd-b26e-c1e3c9ea8de6	GET	undefined	/employees
20231218	14:57:05	0fa57708-08e2-4cc6-ba52-59947cc30957	GET	undefined	/employees
20231218	14:57:49	6b29d7f2-1148-48b1-961c-5d813f4fb6a1	POST	undefined	/employees
20231218	14:57:54	387c9408-49c3-4d85-a349-5ea44d92f0a1	POST	undefined	/auth
20231218	14:58:10	aa50d589-e4e6-4d85-9628-4e75a437d108	POST	undefined	/employees
20231218	15:31:21	8d87531c-1262-4bff-9c64-0b4d75bb4571	POST	undefined	/auth
20231218	15:32:27	b1df6a44-522a-4ff4-b368-99239df5d4ed	GET	undefined	/refresh
20231218	15:53:11	81c4bee0-c6c7-4752-9467-f57db4641390	POST	undefined	/auth
20231218	15:53:38	7862bb47-3310-45b0-b854-062ba22fc755	GET	undefined	/logout
20231218	15:54:06	57dae1fa-bb8a-4c47-ad56-d7bc5fca910d	GET	undefined	/logout
20231218	15:54:23	86385153-457c-41f7-b541-a4a46d1fe6c2	POST	undefined	/auth
20231218	15:54:30	140bac1b-c0af-40f6-8281-20bfb40dfb4c	GET	undefined	/refresh
20231218	15:54:34	90160d7d-c2c9-42eb-9999-d1f8617aa9b3	GET	undefined	/logout
20231218	15:54:54	27264930-09f7-45a6-92d8-e8e619c254f7	GET	undefined	/logout
20231218	15:55:07	356690ac-270a-41a1-8900-824e2dbb2543	POST	undefined	/auth
20231218	15:55:10	59c4c8c9-f34c-436d-be50-cb6f00d59773	GET	undefined	/logout
20231218	15:55:28	8374b86b-cb15-402b-aab1-e78613631d45	GET	undefined	/refresh
20231218	15:55:50	bf5b5971-fa29-443a-9234-43a5db14cabc	GET	undefined	/refresh
20231218	15:56:11	32f6d3a6-7b44-4933-b1e2-10d68efa5ce1	GET	undefined	/refresh
20231218	15:56:18	964d77c5-8d5c-4aeb-b9df-a7c7e6d60838	POST	undefined	/auth
20231218	15:56:21	1dd5c0c9-2fa4-4a77-9923-1abce06c8feb	GET	undefined	/refresh
20231218	15:56:24	df0a975c-a3e3-4e4b-9524-6751aa4ce14f	GET	undefined	/logout
20231218	15:56:26	d4b1a7ce-f67a-4a62-81bc-6b2e4574c6c5	GET	undefined	/refresh
20231218	15:56:29	e2c65fb6-cdda-4f6f-a4e7-e5956207bb3b	GET	undefined	/employees
20231218	15:56:31	eeb3d84d-2ae6-485c-bb1a-ce16fef3fb0e	POST	undefined	/auth
20231218	15:56:34	c03caf85-6776-4635-ba36-43f9efd821bc	GET	undefined	/employees
20231218	15:56:36	c9e7c192-8c6f-4d64-8939-e057fbacafd9	GET	undefined	/refresh
20231218	15:56:39	6b61ed79-dd8f-4fef-b525-d3553570d59c	GET	undefined	/employees
20231218	15:56:52	742b9f22-9c67-4e8c-91aa-3bb742b984ad	GET	undefined	/employees
20231218	15:58:55	1847b6b1-84f9-4910-9b54-6ec6e8a55a4c	GET	undefined	/refresh
20231218	15:58:59	ab5a57ea-e818-4eec-8ab3-97476026f69f	GET	undefined	/logout
20231218	15:59:02	2cd0d521-5bd6-4680-9bbd-ec39f54d018f	GET	undefined	/refresh
20231218	15:59:52	deeeeef2-fc39-44b7-bc8c-b380d105e4be	POST	undefined	/auth
20231218	15:59:55	9fa9c9e7-1ff0-445b-9420-2ded139ee44b	GET	undefined	/refresh
20231218	16:00:04	79bf1822-7e11-4ffa-a341-ad6024caaea3	GET	undefined	/employees
20231218	16:00:21	1288de7b-b5e4-4bd8-bd75-cd8f17e8123f	GET	undefined	/employees
20231218	16:00:37	0655bf57-5ed8-4128-a6fb-2c405aa67352	GET	undefined	/employees
20231218	18:20:54	8dfedbe6-dd66-4c46-8f2a-915dc05c728b	POST	undefined	/auth
20231218	18:21:08	27300c7c-d95e-4c30-afe4-6028d4e4beb6	GET	undefined	/employees
